employee_id,department,designation,age,salary,joining_date,last_promotion_date,experience_years,performance_rating,is_active
EMP1161,HR ,,22,35000,2021/07/15,2022-03-01,3,,no
emp_162,HR,,28,120000,2019-05-10,01/04/2021,5,3,yes
,it ,Analyst,35,N/A,invalid,,-2,4,
,sales,Analyst,unknown,N/A,invalid,01/04/2021,8,2,yes
,sales,mgr,45,250000,,invalid,5,,True
EMP1166,Finance,,-5,₹75000,10/06/2020,2022-03-01,,2,no
emp_167,HR,,-5,₹75000,invalid,01/04/2021,ten,2,yes
,Finance,ANALYST,35,120000,,,1,4,yes
emp_169,it ,mgr,60,120000,2021/07/15,01/04/2021,,2,
,,ANALYST,60,250000,2021/07/15,invalid,12,excellent,no
,HR ,ANALYST,-5,250000,invalid,01/04/2021,-2,excellent,True
emp_172,sales,ANALYST,150,250000,10/06/2020,01/04/2021,3,poor,
emp_173,Finance,Manager,45,120000,10/06/2020,invalid,8,1,False
EMP1174,IT,ANALYST,35,,2019-05-10,,3,1,False
emp_175,IT,,-5,120000,10/06/2020,2022-03-01,ten,5,False
,it ,Analyst,22,250000,invalid,,1,,False
,Finance,Senior Analyst,,₹75000,,01/04/2021,ten,1,False
,HR,Senior Analyst,,85000,2019-05-10,invalid,8,3,yes
emp_179,HR ,mgr,28,35000,,invalid,-2,poor,False
emp_180,sales,mgr,,,,01/04/2021,ten,excellent,no
,HR ,Manager,-5,35000,10/06/2020,invalid,-2,3,
EMP1182,sales,ANALYST,45,₹75000,10/06/2020,invalid,1,poor,True
emp_183,HR,Senior Analyst,150,120000,2021/07/15,2022-03-01,1,5,False
EMP1184,sales,mgr,150,55000,10/06/2020,2022-03-01,5,,True
emp_185,Finance,,22,250000,invalid,01/04/2021,8,,no
,Sales,Senior Analyst,60,N/A,2019-05-10,01/04/2021,12,1,True
,,ANALYST,150,250000,2021/07/15,01/04/2021,12,4,no
emp_188,Finance,,28,₹75000,10/06/2020,01/04/2021,-2,3,
,HR,mgr,45,55000,10/06/2020,invalid,12,4,yes
emp_190,it ,ANALYST,unknown,35000,invalid,invalid,-2,1,
EMP1191,Sales,mgr,unknown,N/A,2021/07/15,01/04/2021,,,yes
EMP1192,IT,Analyst,150,,,invalid,1,1,
EMP1193,Finance,Analyst,60,35000,10/06/2020,,5,poor,no
emp_194,HR,ANALYST,35,N/A,2019-05-10,2022-03-01,5,2,False
,sales,Senior Analyst,60,120000,2021/07/15,invalid,,4,yes
,Sales,mgr,unknown,₹75000,2019-05-10,2022-03-01,12,,no
,sales,Manager,22,120000,10/06/2020,,-2,poor,yes
,HR,mgr,45,250000,,2022-03-01,-2,4,
emp_199,IT,Analyst,28,250000,2019-05-10,invalid,12,4,
,Sales,mgr,22,35000,2021/07/15,01/04/2021,,2,no
emp_201,,ANALYST,unknown,120000,2019-05-10,,1,excellent,True
EMP1202,sales,Analyst,unknown,,10/06/2020,01/04/2021,5,excellent,True
EMP1203,IT,Analyst,60,N/A,,invalid,12,excellent,
emp_204,HR ,Senior Analyst,35,N/A,invalid,invalid,-2,2,yes
EMP1205,,Analyst,150,35000,10/06/2020,,5,,
,sales,Senior Analyst,45,120000,,invalid,8,4,yes
,,mgr,22,₹75000,invalid,invalid,,5,
emp_208,Sales,mgr,,55000,2019-05-10,2022-03-01,,5,
EMP1209,,,unknown,55000,10/06/2020,2022-03-01,5,2,True
,Finance,Manager,28,250000,2021/07/15,2022-03-01,3,3,yes
emp_211,Sales,Senior Analyst,60,35000,2021/07/15,2022-03-01,12,3,yes
,Sales,,60,55000,2021/07/15,invalid,12,5,no
,,Analyst,22,,10/06/2020,2022-03-01,-2,2,True
,HR,mgr,60,120000,,,12,,False
emp_215,IT,,28,55000,2019-05-10,invalid,3,excellent,yes
emp_216,,Senior Analyst,60,120000,invalid,invalid,8,2,
,it ,,28,250000,2021/07/15,2022-03-01,,2,yes
,it ,,unknown,N/A,10/06/2020,01/04/2021,12,poor,False
,,Analyst,unknown,55000,2019-05-10,01/04/2021,-2,,True
emp_220,it ,Manager,unknown,35000,2019-05-10,invalid,,1,yes
,sales,Analyst,150,,,,8,poor,no
emp_222,HR,,45,35000,invalid,invalid,5,,False
,HR,Manager,,120000,2019-05-10,,-2,1,True
,Finance,Manager,60,250000,2021/07/15,invalid,1,3,
,IT,mgr,28,₹75000,invalid,invalid,-2,2,
emp_226,it ,Analyst,45,₹75000,,01/04/2021,1,excellent,True
EMP1227,it ,Senior Analyst,150,250000,2019-05-10,invalid,5,4,yes
,it ,Manager,,,10/06/2020,,3,4,no
,HR ,,45,120000,invalid,,5,,yes
EMP1230,sales,,45,85000,2021/07/15,2022-03-01,3,4,
emp_231,,Senior Analyst,150,35000,10/06/2020,2022-03-01,ten,excellent,
EMP1232,sales,ANALYST,28,35000,2021/07/15,invalid,8,1,True
emp_233,HR,Manager,unknown,N/A,invalid,01/04/2021,3,excellent,yes
emp_234,Finance,Analyst,22,85000,2019-05-10,invalid,12,excellent,
,Finance,ANALYST,45,N/A,2021/07/15,,12,3,no
,IT,mgr,28,,10/06/2020,invalid,,,False
EMP1237,,mgr,-5,N/A,10/06/2020,invalid,8,3,no
EMP1238,Finance,Analyst,28,250000,,01/04/2021,8,5,
,,,22,,10/06/2020,invalid,12,2,True
,HR ,mgr,-5,,invalid,,12,3,False
emp_241,IT,Senior Analyst,60,₹75000,invalid,01/04/2021,12,excellent,False
,,ANALYST,,N/A,2019-05-10,,ten,2,no
,Sales,mgr,unknown,N/A,2021/07/15,01/04/2021,5,,
,IT,Senior Analyst,35,55000,2021/07/15,invalid,ten,1,True
,Finance,mgr,-5,85000,2019-05-10,2022-03-01,3,poor,False
,Finance,ANALYST,28,120000,2019-05-10,invalid,8,excellent,
,HR,Senior Analyst,-5,250000,2021/07/15,01/04/2021,-2,3,True
EMP1248,it ,Manager,-5,35000,2019-05-10,invalid,ten,1,False
,,Analyst,-5,35000,invalid,2022-03-01,,3,
,HR ,Senior Analyst,,250000,2021/07/15,2022-03-01,ten,4,no
emp_251,sales,Senior Analyst,unknown,55000,invalid,,-2,poor,yes
EMP1252,IT,,150,₹75000,2019-05-10,,8,2,yes
emp_253,HR ,Analyst,22,120000,2019-05-10,01/04/2021,,3,yes
,sales,Senior Analyst,,250000,2021/07/15,,12,4,False
,IT,ANALYST,60,55000,,invalid,8,1,True
,,Manager,28,35000,2019-05-10,01/04/2021,ten,2,no
,IT,ANALYST,150,55000,,2022-03-01,8,excellent,False
EMP1258,,Analyst,28,250000,invalid,,ten,5,yes
emp_259,HR ,ANALYST,unknown,85000,invalid,,8,5,
emp_260,IT,Manager,35,120000,2019-05-10,,8,3,True
emp_261,,ANALYST,45,85000,invalid,2022-03-01,5,5,False
,IT,Manager,-5,250000,,invalid,1,5,
emp_263,IT,,28,35000,10/06/2020,,5,3,False
,IT,Senior Analyst,-5,55000,10/06/2020,,1,3,False
,it ,ANALYST,-5,120000,2019-05-10,01/04/2021,3,excellent,no
EMP1266,Sales,Senior Analyst,,,2021/07/15,2022-03-01,1,excellent,True
,Sales,ANALYST,35,55000,,01/04/2021,8,3,True
,Sales,Senior Analyst,60,120000,10/06/2020,,8,4,False
,HR ,mgr,unknown,N/A,2021/07/15,01/04/2021,ten,poor,no
,IT,ANALYST,,120000,10/06/2020,invalid,-2,2,
emp_271,Sales,Analyst,150,120000,,2022-03-01,1,,False
,,Manager,28,85000,2021/07/15,invalid,ten,1,False
,Finance,ANALYST,,120000,10/06/2020,,12,2,yes
,,Analyst,22,120000,2019-05-10,2022-03-01,,3,
,,Analyst,45,N/A,2021/07/15,01/04/2021,1,5,False
,it ,Analyst,45,120000,2019-05-10,,ten,3,False
emp_277,it ,Senior Analyst,-5,35000,10/06/2020,2022-03-01,-2,2,no
EMP1278,sales,Analyst,unknown,250000,2019-05-10,01/04/2021,5,3,
EMP1279,sales,Senior Analyst,60,250000,,2022-03-01,3,5,False
,IT,Senior Analyst,60,55000,10/06/2020,01/04/2021,3,poor,False
,HR ,,60,85000,10/06/2020,invalid,-2,1,no
,Finance,Senior Analyst,28,55000,invalid,01/04/2021,,1,no
emp_283,Finance,,35,55000,2019-05-10,2022-03-01,12,excellent,
EMP1284,,,35,₹75000,,invalid,1,3,True
,Sales,Manager,-5,85000,10/06/2020,,8,poor,no
,HR ,,28,120000,invalid,2022-03-01,1,1,False
,IT,Analyst,unknown,N/A,2021/07/15,invalid,ten,,no
,IT,Analyst,45,250000,invalid,2022-03-01,3,1,no
emp_289,IT,Senior Analyst,35,85000,2019-05-10,,12,poor,False
emp_290,it ,mgr,,,10/06/2020,2022-03-01,3,2,False
,HR,Manager,150,120000,10/06/2020,,8,excellent,no
,IT,mgr,,250000,10/06/2020,invalid,ten,,False
EMP1293,HR,,60,N/A,2021/07/15,01/04/2021,8,excellent,
,IT,Analyst,unknown,250000,,2022-03-01,,3,False
,it ,Senior Analyst,unknown,,10/06/2020,invalid,12,poor,
EMP1296,Sales,,,250000,invalid,2022-03-01,3,5,no
emp_297,sales,,150,120000,10/06/2020,01/04/2021,-2,2,
,HR,ANALYST,28,85000,2021/07/15,,-2,2,
,,Senior Analyst,22,250000,10/06/2020,invalid,ten,4,no
EMP1300,IT,ANALYST,28,120000,2019-05-10,,,2,True
EMP1301,IT,Analyst,60,N/A,2019-05-10,,-2,5,no
,HR,,unknown,250000,2021/07/15,invalid,8,excellent,True
EMP1303,sales,mgr,45,85000,invalid,2022-03-01,1,poor,False
,it ,Manager,35,85000,2021/07/15,,1,excellent,yes
,,mgr,-5,55000,10/06/2020,01/04/2021,8,,
,Sales,mgr,35,55000,invalid,,12,poor,True
,IT,mgr,35,,invalid,invalid,-2,excellent,False
,,Senior Analyst,150,120000,,,3,,no
,HR,,28,₹75000,invalid,,,,True
emp_310,sales,Manager,28,55000,invalid,2022-03-01,,,
EMP1311,IT,Manager,35,₹75000,2021/07/15,,1,4,
EMP1312,Sales,Analyst,22,55000,2021/07/15,,3,4,no
,it ,Senior Analyst,22,N/A,,invalid,1,3,
,Sales,ANALYST,45,55000,10/06/2020,invalid,,4,True
emp_315,IT,Manager,22,250000,,invalid,12,excellent,True
emp_316,HR,Senior Analyst,60,120000,2019-05-10,01/04/2021,8,excellent,no
emp_317,it ,ANALYST,45,120000,,01/04/2021,,excellent,
,HR,Senior Analyst,60,₹75000,10/06/2020,01/04/2021,-2,2,
,HR ,ANALYST,35,,2019-05-10,2022-03-01,8,poor,False
,HR,ANALYST,60,35000,invalid,,-2,4,True
,Sales,Analyst,-5,55000,10/06/2020,2022-03-01,8,excellent,
,it ,Manager,45,85000,2019-05-10,2022-03-01,5,poor,True
EMP1323,IT,Manager,-5,₹75000,,2022-03-01,12,2,False
,HR ,Manager,22,250000,,01/04/2021,5,5,True
,Finance,,150,85000,2019-05-10,2022-03-01,8,2,yes
EMP1326,HR ,ANALYST,28,,,invalid,3,2,yes
EMP1327,it ,Senior Analyst,45,35000,,2022-03-01,1,4,no
EMP1328,IT,mgr,22,35000,2021/07/15,2022-03-01,-2,,True
,,Senior Analyst,45,35000,2019-05-10,01/04/2021,12,1,True
emp_330,,mgr,150,,,invalid,1,3,True
emp_331,Finance,ANALYST,150,,2021/07/15,01/04/2021,8,2,yes
,sales,,unknown,₹75000,,2022-03-01,8,1,yes
,,Analyst,-5,,2021/07/15,,1,1,no
,IT,Manager,22,85000,2019-05-10,01/04/2021,12,poor,no
emp_335,it ,,60,55000,,invalid,8,5,False
emp_336,HR ,,45,N/A,10/06/2020,,-2,3,True
emp_337,Sales,Senior Analyst,,85000,invalid,2022-03-01,3,,no
emp_338,,mgr,22,35000,2021/07/15,2022-03-01,-2,3,no
,Finance,Senior Analyst,-5,55000,,01/04/2021,1,3,False
EMP1340,,Manager,unknown,₹75000,,,ten,5,True
EMP1341,Finance,Manager,45,N/A,10/06/2020,01/04/2021,5,poor,yes
EMP1342,it ,mgr,150,55000,,invalid,,poor,yes
emp_343,HR,mgr,22,,,,-2,2,yes
,IT,,-5,35000,invalid,invalid,1,poor,
,Sales,mgr,22,₹75000,invalid,,12,4,yes
,Sales,mgr,150,250000,10/06/2020,invalid,ten,2,
,sales,Senior Analyst,60,N/A,invalid,invalid,3,excellent,yes
EMP1348,HR,mgr,35,55000,,invalid,3,2,yes
EMP1349,Sales,Manager,,₹75000,10/06/2020,01/04/2021,3,,False
EMP1350,it ,Senior Analyst,45,85000,10/06/2020,2022-03-01,1,,yes
emp_351,,mgr,45,120000,,01/04/2021,1,5,no
,Sales,Analyst,45,₹75000,,invalid,-2,excellent,no
emp_353,Sales,Senior Analyst,22,35000,,01/04/2021,ten,excellent,False
,sales,Manager,35,35000,invalid,,-2,4,no
,it ,Manager,45,120000,,invalid,,3,no
,IT,Manager,22,85000,invalid,01/04/2021,ten,2,no
EMP1357,Finance,Senior Analyst,45,,,,3,4,True
EMP1358,IT,Manager,45,55000,invalid,invalid,5,excellent,yes
EMP1359,HR,Analyst,unknown,,2019-05-10,,ten,5,yes
emp_360,HR,,150,85000,2021/07/15,01/04/2021,3,1,False
emp_361,it ,ANALYST,45,35000,invalid,2022-03-01,,1,
,,ANALYST,unknown,85000,2019-05-10,01/04/2021,5,,True
,sales,Senior Analyst,28,250000,,invalid,8,5,True
emp_364,HR,ANALYST,60,250000,2021/07/15,,-2,5,no
emp_365,IT,,-5,85000,2021/07/15,2022-03-01,-2,poor,False
EMP1366,it ,mgr,28,55000,10/06/2020,01/04/2021,-2,5,False
EMP1367,it ,,28,85000,invalid,2022-03-01,3,4,False
,HR,Manager,,,,2022-03-01,8,excellent,yes
emp_369,Sales,Senior Analyst,150,85000,10/06/2020,,3,5,True
emp_370,sales,Manager,28,,,2022-03-01,1,poor,no
,Sales,Manager,60,250000,2021/07/15,01/04/2021,3,3,False
EMP1372,Sales,Manager,45,250000,2021/07/15,,,2,False
,HR,,150,N/A,10/06/2020,2022-03-01,3,4,no
,Finance,Senior Analyst,150,,,01/04/2021,1,,False
EMP1375,,Analyst,150,,invalid,01/04/2021,12,,yes
,IT,Manager,,85000,invalid,01/04/2021,3,2,yes
EMP1377,HR,,35,35000,10/06/2020,01/04/2021,12,2,True
,HR ,Senior Analyst,-5,35000,,2022-03-01,3,2,True
EMP1379,Finance,Senior Analyst,-5,N/A,2021/07/15,01/04/2021,8,excellent,yes
emp_380,Finance,Senior Analyst,45,₹75000,invalid,2022-03-01,ten,5,yes
,,,60,,2019-05-10,invalid,8,5,False
,,mgr,150,35000,,2022-03-01,8,4,True
emp_383,Finance,mgr,60,N/A,,01/04/2021,-2,3,yes
EMP1384,Finance,Manager,45,85000,2021/07/15,,12,3,yes
,it ,Manager,45,,10/06/2020,01/04/2021,-2,5,True
,HR,Manager,60,250000,10/06/2020,01/04/2021,-2,2,True
emp_387,IT,,28,85000,2019-05-10,invalid,12,,True
,it ,mgr,60,250000,,,12,3,
EMP1389,Finance,,28,₹75000,10/06/2020,2022-03-01,-2,2,yes
emp_390,,mgr,60,35000,2021/07/15,01/04/2021,8,excellent,no
,HR ,mgr,35,85000,2021/07/15,,1,,False
,Sales,mgr,28,85000,2021/07/15,,5,excellent,
,Finance,Manager,60,35000,invalid,,1,4,
,Finance,mgr,22,N/A,2019-05-10,,,poor,
,HR,ANALYST,45,N/A,2019-05-10,,12,3,True
emp_396,Finance,mgr,150,,,01/04/2021,1,excellent,False
,Sales,ANALYST,22,250000,2021/07/15,invalid,8,5,no
EMP1398,it ,ANALYST,28,120000,10/06/2020,invalid,5,,no
,Finance,ANALYST,60,250000,invalid,,1,3,True
EMP1400,sales,Manager,60,250000,10/06/2020,2022-03-01,3,3,no
EMP1401,Finance,Analyst,22,250000,,invalid,1,1,
,sales,Manager,28,120000,2019-05-10,,ten,5,no
emp_403,it ,Manager,35,120000,2019-05-10,01/04/2021,5,4,True
emp_404,,mgr,-5,N/A,,invalid,12,1,no
emp_405,HR,Manager,unknown,250000,2019-05-10,invalid,-2,poor,no
EMP1406,Sales,Senior Analyst,28,85000,invalid,2022-03-01,12,3,no
EMP1407,IT,mgr,45,₹75000,2021/07/15,,,poor,True
EMP1408,IT,,22,N/A,10/06/2020,invalid,-2,4,True
EMP1409,Sales,Analyst,150,120000,2019-05-10,invalid,5,poor,yes
emp_410,,Analyst,28,N/A,2021/07/15,,12,poor,False
,sales,Analyst,-5,85000,invalid,01/04/2021,-2,3,True
EMP1412,it ,Senior Analyst,35,55000,,01/04/2021,-2,2,True
,Sales,Senior Analyst,45,₹75000,2021/07/15,,ten,5,no
EMP1414,Sales,,45,,invalid,,,3,True
,HR ,,22,55000,invalid,invalid,3,3,yes
,HR,mgr,45,120000,2021/07/15,01/04/2021,1,,False
,sales,,60,₹75000,,01/04/2021,,3,False
,HR ,ANALYST,28,250000,2021/07/15,invalid,12,2,False
,sales,Senior Analyst,unknown,85000,10/06/2020,,3,1,False
,IT,,-5,85000,2021/07/15,,5,excellent,no
EMP1421,it ,Manager,35,120000,10/06/2020,invalid,1,2,
,Sales,Manager,35,₹75000,invalid,invalid,,3,False
,HR,,,,2021/07/15,01/04/2021,12,2,False
EMP1424,it ,,35,35000,2021/07/15,invalid,-2,poor,True
,Sales,ANALYST,-5,120000,10/06/2020,invalid,12,3,no
EMP1426,it ,Manager,22,85000,10/06/2020,01/04/2021,12,5,yes
